Symbol,SEM_SMST_SECURITY_ID,Company Name,Industry,Series,ISIN Code,ID
ABB,13,ABB India Ltd.,Capital Goods,EQ,INE117A01022,13
ADANIENSOL,10217,Adani Energy Solutions Ltd.,Power,EQ,INE931S01010,10217
ADANIENT,25,Adani Enterprises Ltd.,Metals & Mining,EQ,INE423A01024,25
ADANIGREEN,3563,Adani Green Energy Ltd.,Power,EQ,INE364U01010,3563
ADANIPORTS,15083,Adani Ports and Special Economic Zone Ltd.,Services,EQ,INE742F01042,15083
ADANIPOWER,17388,Adani Power Ltd.,Power,EQ,INE814H01011,17388
ATGL,6066,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,EQ,INE399L01023,6066
AMBUJACEM,1270,Ambuja Cements Ltd.,Construction Materials,EQ,INE079A01024,1270
APOLLOHOSP,157,Apollo Hospitals Enterprise Ltd.,Healthcare,EQ,INE437A01024,157
ASIANPAINT,236,Asian Paints Ltd.,Consumer Durables,EQ,INE021A01026,236
DMART,19913,Avenue Supermarts Ltd.,Consumer Services,EQ,INE192R01011,19913
AXISBANK,5900,Axis Bank Ltd.,Financial Services,EQ,INE238A01034,5900
BAJAJ-AUTO,16669,Bajaj Auto Ltd.,Automobile and Auto Components,EQ,INE917I01010,16669
BAJFINANCE,317,Bajaj Finance Ltd.,Financial Services,EQ,INE296A01024,317
BAJAJFINSV,16675,Bajaj Finserv Ltd.,Financial Services,EQ,INE918I01026,16675
BAJAJHLDNG,305,Bajaj Holdings & Investment Ltd.,Financial Services,EQ,INE118A01012,305
BANKBARODA,4668,Bank of Baroda,Financial Services,EQ,INE028A01039,4668
BERGEPAINT,404,Berger Paints India Ltd.,Consumer Durables,EQ,INE463A01038,404
BEL,383,Bharat Electronics Ltd.,Capital Goods,EQ,INE263A01024,383
BPCL,526,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE029A01011,526
BHARTIARTL,10604,Bharti Airtel Ltd.,Telecommunication,EQ,INE397D01024,10604
BOSCHLTD,2181,Bosch Ltd.,Automobile and Auto Components,EQ,INE323A01026,2181
BRITANNIA,547,Britannia Industries Ltd.,Fast Moving Consumer Goods,EQ,INE216A01030,547
CANBK,10794,Canara Bank,Financial Services,EQ,INE476A01014,10794
CHOLAFIN,19257,Cholamandalam Investment and Finance Company Ltd.,Financial Services,EQ,INE121A01024,19257
