Company Name,Industry,Symbol,Series,ISIN Code,ID
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,13061
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,474
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,13
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,22
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,13086
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,25780
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,21238
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,7
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,5385
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,17903
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025,13587
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,10217
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,25
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,3563
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,15083
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011,17388
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,6066
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,8110
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,21614
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,30108
Aether Industries Ltd.,Chemicals,AETHER,EQ,INE0BWX01014,9810
Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,11343
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049,8124
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018,25328
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,11703
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039,4487
Allcargo Logistics Ltd.,Services,ALLCARGO,EQ,INE418H01029,13501
Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029,17675
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032,100
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,1185
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,1270
